"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"190","5303","#LLG9GRUU","911","152","105","13","#UL89J8C","درع الجزيره","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"191","5303","#CGJ890GC","Lord//Mage","169","198","12","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"192","5303","#GLLCPY0R","極悪倭文KENTAKE馬刺","154","224","10","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"193","5303","#GVCRULLQ","JOSEPH SUCCAR","175","88","6","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"194","5302","#29UJLPYV0","[naMi]","139","177","7","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"195","5302","#U02QLVJV","Bay","136","179","10","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"196","5300","#8GYQUVCC","tiger1974","152","215","21","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"197","5300","#Y0089RLL","Toto","170","136","7","#RLU2Y9J","I PEKKA TORI","02K5VantrE82RN3BVCbgoNpFLN6rVFfg7aN999K4kp4"
"198","5300","#CQVYGRQJ","abo_od","146","137","10","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"199","5300","#GUV2GQGJ","༺།ོ༼A H K༽།ོ༻","202","124","4","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"200","5299","#G2VGV888","black devil","139","155","10","#YL8QGP88","日本 助け合い クラン烈","i29Vnl6DdF8rMlVaRkZlcHJGovuNKhbeymdAV7NzuqE"
"201","5299","#P2VUJ99L","Delay No More","138","84","13","#YJLRUQY8","HOUSE of CLOUDS","Jj2a5gZ0-XjAHIeJKXM09U_d3d3HACXHSzfsIEzE7d8"
